Recording_ID,species,file_nam_label,min_t,max_t,label_id,rec_from,channel,labeler,full_path,duration_song,unique_id,unique_id_label,English_name,birdlife_sci_name,order_name,family_name,song_description_collins_bird_guide,short_or_continuous_song,Country,Latitude,Longitude,Vocalization_type,option
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,29.157027,30.119502,cd1,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,0.962475000000001,1,Black_Redstart_cd_1,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,30.790972,32.69947,2,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,1.908498,2,Black_Redstart_cd_2,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,34.743701,35.854249,3,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,1.110548,3,Black_Redstart_cd_3,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,37.051173,38.848615,4,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,1.797442,4,Black_Redstart_cd_4,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,41.119069,42.15558,5,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,1.036511,5,Black_Redstart_cd_5,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,44.413695,47.589039,6,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,3.175344,6,Black_Redstart_cd_6,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
-1,Black_Redstart,Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.txt,49.908851,52.602958,7,cd,L,MB,/home/miche/data/git/acoucene/songs_CD/CD3/Jean C. Roché - Rougequeue noir - Phoenicurus ochruros.wav,2.694107,7,Black_Redstart_cd_7,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,,,,,
133524,Black_Redstart,133524.txt,3.14842,5.954621,133524,xc,1,MB,/home/miche/data/git/acoucene/abundance/xc/Black_Redstart/converted/Phoenicurus-ochruros-133524.wav,2.806201,1,133524_1,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,Italy,45.6851,11.0856,song,
141179,Black_Redstart,141179.txt,26.034803,29.362222,141179,xc,1,MB,/home/miche/data/git/acoucene/abundance/xc/Black_Redstart/converted/Phoenicurus-ochruros-141179.wav,3.327419,1,141179_1,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,France,45.2259,6.7429,song,
141179,Black_Redstart,141179.txt,34.79176,36.095748,2,xc,1,MB,/home/miche/data/git/acoucene/abundance/xc/Black_Redstart/converted/Phoenicurus-ochruros-141179.wav,1.303988,2,141179_2,Black Redstart,Phoenicurus ochruros,PASSERIFORMES,MUSCICAPIDAE,"Call a straight, slightly sharp whistle, ‘vist’, often repeated impatiently. When highly agitated, a discreet clicking is added, ‘vist, tk-tk-tk’. Song loud, frequently given at first light from high perch, usually consists of four parts: starts with a few whistles and a rattling repetition of same note, followed by a pause circa 2 sec. Long, then a peculiar crackling sound (not very far-carrying), after which the verse terminates with some brief whistled notes, e.g. ‘si-sru till-ill-ill-ill-ill-ill….. (krschkrschkrsch) srusvisvi’; the sequence of the four components may sometimes be switched around.",short,France,45.2259,6.7429,song,
